pais;iso3;anio;valor_en_porcentaje;anioString;colorPais
Australia;AUS;1965;5.5626216;1965;#C43E3E
Argentina;ARG;1965;1.1026944;1965;#FF7B03
Brasil;BRA;1965;27.548725;1965;#006CBA
Chile;CHL;1965;16.141762;1965;#000000
Mundo;OWID_WRL;1965;6.620816;1965;#ABBABA
Austria;AUT;1965;25.096405;1965;#4B4BB0
Bélgica;BEL;1965;0.19477375;1965;#608584
Bulgaria;BGR;1965;4.931371;1965;#FF7B03
Canadá;CAN;1965;25.164799;1965;#006CBA
China;CHN;1965;4.253407;1965;#C43E3E
Colombia;COL;1965;10.729045;1965;#C43E3E
República Checa;CZE;1965;1.4077874;1965;#4B4BB0
Alemania;DEU;1965;1.6256839;1965;#4B4BB0
Argelia;DZA;1965;4.7630677;1965;#720034
Egipto;EGY;1965;5.587894;1965;#608584
Francia;FRA;1965;10.77933;1965;#000000
Reino Unido;GBR;1965;2.442916;1965;#C43E3E
Hungría;HUN;1965;0.11989387;1965;#720034
Indonesia;IDN;1965;6.385929;1965;#720034
India;IND;1965;9.149455;1965;#608584
Irán;IRN;1965;5.2250767;1965;#608584
Italia;ITA;1965;15.472531;1965;#ABBABA
Japón;JPN;1965;12.338977;1965;#ABBABA
Luxemburgo;LUX;1965;0.61123115;1965;#C43E3E
Marruecos;MAR;1965;20.195011;1965;#4B4BB0
México;MEX;1965;8.934724;1965;#4B4BB0
Países Bajos;NLD;1965;0;1965;#720034
Unión de Repúblicas Socialistas Sovi�ticas (URSS);OWID_USS;1965;3.5576594;1965;#FF7B03
Pakistán;PAK;1965;7.8989325;1965;#FF7B03
Perú;PER;1965;14.111191;1965;#FF7B03
Polonia;POL;1965;0.35209695;1965;#006CBA
Rumania;ROU;1965;1.0662187;1965;#000000
Arabia Saudita;SAU;1965;0;1965;#000000
Eslovaquia;SVK;1965;6.1526546;1965;#C43E3E
Taiwán (China);TWN;1965;10.868428;1965;#720034
Estados Unidos;USA;1965;4.4445095;1965;#608584
Venezuela;VEN;1965;2.1140683;1965;#FF7B03
Sudáfrica;ZAF;1965;0.030886449;1965;#FF7B03
Australia;AUS;1966;5.0718946;1966;#C43E3E
Argentina;ARG;1966;1.0818663;1966;#FF7B03
Brasil;BRA;1966;27.618214;1966;#006CBA
Chile;CHL;1966;15.867013;1966;#000000
Austria;AUT;1966;25.840193;1966;#4B4BB0
Mundo;OWID_WRL;1966;6.74608;1966;#ABBABA
Bélgica;BEL;1966;0.22650358;1966;#608584
Bulgaria;BGR;1966;4.6229753;1966;#FF7B03
Canadá;CAN;1966;26.227749;1966;#006CBA
China;CHN;1966;3.9831228;1966;#C43E3E
Colombia;COL;1966;10.590929;1966;#C43E3E
República Checa;CZE;1966;1.3170925;1966;#4B4BB0
Alemania;DEU;1966;1.7668713;1966;#4B4BB0
Argelia;DZA;1966;3.518747;1966;#720034
Egipto;EGY;1966;5.5950437;1966;#608584
Francia;FRA;1966;11.897502;1966;#000000
Reino Unido;GBR;1966;3.040986;1966;#C43E3E
Hungría;HUN;1966;0.15773733;1966;#720034
Indonesia;IDN;1966;8.36461;1966;#720034
India;IND;1966;9.270713;1966;#608584
Irán;IRN;1966;5.151487;1966;#608584
Italia;ITA;1966;14.876864;1966;#ABBABA
Japón;JPN;1966;11.733366;1966;#ABBABA
Luxemburgo;LUX;1966;0.57401025;1966;#C43E3E
Marruecos;MAR;1966;13.327539;1966;#4B4BB0
México;MEX;1966;9.63311;1966;#4B4BB0
Países Bajos;NLD;1966;0;1966;#720034
Unión de Repúblicas Socialistas Sovi�ticas (URSS);OWID_USS;1966;3.770632;1966;#FF7B03
Pakistán;PAK;1966;7.8401723;1966;#FF7B03
Perú;PER;1966;12.449849;1966;#FF7B03
Polonia;POL;1966;0.35020763;1966;#006CBA
Rumania;ROU;1966;1.0295304;1966;#000000
Arabia Saudita;SAU;1966;0;1966;#000000
Eslovaquia;SVK;1966;5.695992;1966;#C43E3E
Taiwán (China);TWN;1966;10.4390545;1966;#720034
Estados Unidos;USA;1966;4.279533;1966;#608584
Venezuela;VEN;1966;2.1339142;1966;#FF7B03
Sudáfrica;ZAF;1966;0.029866165;1966;#FF7B03
Australia;AUS;1967;4.9495487;1967;#C43E3E
Austria;AUT;1967;26.118929;1967;#4B4BB0
Argentina;ARG;1967;1.0765308;1967;#FF7B03
Brasil;BRA;1967;27.880291;1967;#006CBA
Chile;CHL;1967;15.8887;1967;#000000
Mundo;OWID_WRL;1967;6.679294;1967;#ABBABA
Bélgica;BEL;1967;0.23236643;1967;#608584
Bulgaria;BGR;1967;4.0036206;1967;#FF7B03
Canadá;CAN;1967;25.638502;1967;#006CBA
China;CHN;1967;3.818398;1967;#C43E3E
Colombia;COL;1967;11.202192;1967;#C43E3E
República Checa;CZE;1967;1.2057945;1967;#4B4BB0
Alemania;DEU;1967;1.7753115;1967;#4B4BB0
Argelia;DZA;1967;4.291954;1967;#720034
Egipto;EGY;1967;7.041625;1967;#608584
Francia;FRA;1967;9.949951;1967;#000000
Reino Unido;GBR;1967;3.4573169;1967;#C43E3E
Hungría;HUN;1967;0.13554126;1967;#720034
