iso3;anio;valor_en_porcentaje
AUS;1965;5.5626216
ARG;1965;1.1026944
BRA;1965;27.548725
CHL;1965;16.141762
OWID_WRL;1965;6.620816
AUT;1965;25.096405
BEL;1965;0.19477375
BGR;1965;4.931371
CAN;1965;25.164799
CHN;1965;4.253407
COL;1965;10.729045
CZE;1965;1.4077874
DEU;1965;1.6256839
DZA;1965;4.7630677
EGY;1965;5.587894
FRA;1965;10.77933
GBR;1965;2.442916
HUN;1965;0.11989387
IDN;1965;6.385929
IND;1965;9.149455
IRN;1965;5.2250767
ITA;1965;15.472531
JPN;1965;12.338977
LUX;1965;0.61123115
MAR;1965;20.195011
MEX;1965;8.934724
NLD;1965;0
OWID_USS;1965;3.5576594
PAK;1965;7.8989325
PER;1965;14.111191
POL;1965;0.35209695
ROU;1965;1.0662187
SAU;1965;0
SVK;1965;6.1526546
TWN;1965;10.868428
USA;1965;4.4445095
VEN;1965;2.1140683
ZAF;1965;0.030886449
AUS;1966;5.0718946
ARG;1966;1.0818663
BRA;1966;27.618214
CHL;1966;15.867013
AUT;1966;25.840193
OWID_WRL;1966;6.74608
BEL;1966;0.22650358
BGR;1966;4.6229753
CAN;1966;26.227749
CHN;1966;3.9831228
COL;1966;10.590929
CZE;1966;1.3170925
DEU;1966;1.7668713
DZA;1966;3.518747
EGY;1966;5.5950437
FRA;1966;11.897502
GBR;1966;3.040986
HUN;1966;0.15773733
IDN;1966;8.36461
IND;1966;9.270713
IRN;1966;5.151487
ITA;1966;14.876864
JPN;1966;11.733366
LUX;1966;0.57401025
MAR;1966;13.327539
MEX;1966;9.63311
NLD;1966;0
OWID_USS;1966;3.770632
PAK;1966;7.8401723
PER;1966;12.449849
POL;1966;0.35020763
ROU;1966;1.0295304
SAU;1966;0
SVK;1966;5.695992
TWN;1966;10.4390545
USA;1966;4.279533
VEN;1966;2.1339142
ZAF;1966;0.029866165
AUS;1967;4.9495487
AUT;1967;26.118929
ARG;1967;1.0765308
BRA;1967;27.880291
CHL;1967;15.8887
OWID_WRL;1967;6.679294
BEL;1967;0.23236643
BGR;1967;4.0036206
CAN;1967;25.638502
CHN;1967;3.818398
COL;1967;11.202192
CZE;1967;1.2057945
DEU;1967;1.7753115
DZA;1967;4.291954
EGY;1967;7.041625
FRA;1967;9.949951
GBR;1967;3.4573169
HUN;1967;0.13554126
IDN;1967;9.505836
IND;1967;10.058605
IRN;1967;5.0412226
ITA;1967;13.2155075
JPN;1967;8.871291
LUX;1967;0.6577615
MAR;1967;11.18483
MEX;1967;10.29133
